 527 522 519 518 518 518 519 520 524 536 547 553 557 557 554 547 546 547 550 555
 529 525 522 520 519 519 519 520 524 535 546 552 556 556 550 546 545 546 548 555
 538 533 527 523 520 519 519 522 525 535 546 552 555 549 546 544 543 543 547 552
 547 540 535 526 522 520 522 523 529 536 546 551 550 544 540 536 536 541 545 552 
 553 548 542 535 528 524 524 528 533 540 547 550 549 540 530 527 529 533 545 551 
 558 552 547 542 536 532 533 532 537 543 549 553 548 535 524 523 526 535 548 556 
 559 556 550 546 541 538 537 539 544 550 556 558 554 537 524 524 532 540 553 560 
 559 556 552 549 545 545 542 546 550 556 560 561 558 548 540 536 540 549 556 564 
 554 553 554 554 550 548 548 552 556 562 565 565 564 557 550 548 550 555 561 566 
 554 555 556 557 556 554 555 557 561 566 568 570 568 564 558 556 557 559 564 570 
 559 558 560 561 562 560 560 561 564 570 573 574 573 572 566 564 564 566 569 574 
 567 565 566 567 567 566 564 566 570 573 572 575 578 576 572 569 569 570 573 577 
 573 573 573 573 573 573 572 572 573 573 572 572 579 578 576 576 574 576 577 580 
 577 577 577 577 576 575 574 573 574 576 576 576 578 579 580 579 579 579 581 584  
 578 578 579 578 578 577 575 574 574 577 578 579 581 582 582 582 582 583 585 586
 582 581 580 580 578 578 577 575 575 578 580 582 583 584 584 585 585 586 587 588
