1952	0	0	1
1953	1	0	0
1954	0	0	1
1955	0	0	1
1956	0	1	0
1957	0	1	0
1958	1	0	0
1959	1	0	0
1960	1	0	0
1961	1	0	0
1962	0	1	0
1963	0	1	0
1964	1	0	0
1965	0	1	0
1966	1	0	0
1967	1	0	0
1968	0	0	1
1969	0	0	1
1970	0	0	1
1971	0	1	0
1972	0	1	0
1973	1	0	0
1974	0	0	1
1975	0	1	0
1976	1	0	0
1977	1	0	0
1978	1	0	0
1979	0	1	0
1980	0	0	1
1981	1	0	0
1982	0	1	0
1983	0	0	1
1984	0	1	0
1985	1	0	0
1986	0	0	1
1987	0	0	1
1988	1	0	0
1989	0	1	0
1990	0	1	0
1991	0	1	0
1992	1	0	0
1993	0	0	1
1994	1	0	0
1995	1	0	0
1996	0	0	1
1997	0	0	1
1998	0	0	1
1999	1	0	0
2000	0	1	0
2001	1	0	0
